query_id,query_text,intent_category,video_title,creator_handle,description_snippet,result_language,score,flag
Q01,how to remove gel nail polish at home,Informational,Remove Gel Nails at Home — No Damage!,@nailsbynik,Soaking cotton in acetone and wrapping each nail — the safest way to remove gel at home without breaking the nail bed.,English,3,
Q01,how to remove gel nail polish at home,Informational,Gel Nails Removal Hack in 5 Mins,@beautyquicktips,No acetone needed — she uses a surprising pantry item to lift gel polish.,English,3,
Q01,how to remove gel nail polish at home,Informational,DIY Gel Removal Gone Wrong,@glamnailsco,Shows what NOT to do when peeling gel nails — correct soak-off method included.,English,2,
Q01,how to remove gel nail polish at home,Informational,Nail salon ASMR — gel removal close up,@asmrbeauty,Relaxing close-up of a nail technician removing gel polish. No narration.,English,2,
Q01,how to remove gel nail polish at home,Informational,ネイルオフのやり方【簡単】,@nail_japan_official,Step-by-step Japanese tutorial on gel nail removal — no English subtitles.,Japanese,0,Wrong language — Japanese result for English query
Q02,signs of a bad transmission,Informational,5 Signs Your Transmission Is Failing,@cartipswith_mike,"Lists slipping gears, delayed engagement, unusual noises, fluid leaks, and warning lights.",English,3,
Q02,signs of a bad transmission,Informational,My transmission was going out and I didn't know,@drivingemily,Storytime about ignoring early warning signs — ends with a $4000 repair bill.,English,3,
Q02,signs of a bad transmission,Informational,Manual vs Auto Transmission Differences,@mechanicmatt,Comparison of manual and automatic transmissions — not about failure signs.,English,1,"Off-topic — about types of transmission, not failure signs"
Q02,signs of a bad transmission,Informational,Transmission fluid change step by step,@diyautorepair,How to change transmission fluid — not about diagnosing a failing transmission.,English,1,"Off-topic — about maintenance, not diagnosing failure"
Q02,signs of a bad transmission,Informational,Como saber si tu transmision esta fallando,@mecanico_pro,Spanish language video on transmission failure signs. No English subtitles.,Spanish,0,Wrong language — Spanish result for English query
Q03,what does serotonin do,Informational,Serotonin Explained in 60 Seconds,@sciencebrain,"Accurate breakdown: mood regulation, sleep, digestion, and the gut-brain connection.",English,3,
Q03,what does serotonin do,Informational,Why you feel good after exercise — serotonin,@healthcoach_jen,Explains the link between physical activity and serotonin release.,English,3,
Q03,what does serotonin do,Informational,Natural ways to boost serotonin,@wellnesswithkate,"Lists sunlight, exercise, diet, and sleep. Practical and accurate.",English,2,
